epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,290.037,0.50518,0.32478,0.90793,0.98104,1,0.98818,0.92629,0.39872,0.2558,0.8302,0.00181388,0.00181388,0.00181388
96,293.15,0.49131,0.31795,0.90742,0.98083,1,0.98698,0.92345,0.40369,0.24871,0.8355,0.0018119,0.0018119,0.0018119
97,296.173,0.47094,0.31675,0.90393,0.98607,1,0.98704,0.91997,0.39663,0.24455,0.83476,0.00180992,0.00180992,0.00180992
98,299.234,0.46155,0.30464,0.89682,0.98102,1,0.98796,0.9266,0.41255,0.25839,0.84865,0.00180794,0.00180794,0.00180794
99,302.414,0.50361,0.31941,0.9104,0.98875,1,0.99093,0.91226,0.41007,0.2444,0.83757,0.00180596,0.00180596,0.00180596
100,305.961,0.47749,0.31189,0.91566,0.98991,1,0.99241,0.923,0.40613,0.24119,0.8429,0.00180398,0.00180398,0.00180398
101,309.065,0.47367,0.31041,0.91121,0.98914,1,0.99213,0.93133,0.40277,0.23477,0.83439,0.001802,0.001802,0.001802
102,312.041,0.47567,0.30912,0.90265,0.98912,1,0.99028,0.92434,0.39516,0.23612,0.83483,0.00180002,0.00180002,0.00180002
103,315.066,0.47356,0.30785,0.90859,0.9895,1,0.98907,0.91844,0.38084,0.23233,0.83738,0.00179804,0.00179804,0.00179804
104,318.032,0.48018,0.30224,0.91094,0.97495,1,0.98318,0.91189,0.39624,0.25132,0.83793,0.00179606,0.00179606,0.00179606
105,321.231,0.45231,0.30763,0.89998,0.9809,0.99065,0.98755,0.92102,0.40609,0.27665,0.83839,0.00179408,0.00179408,0.00179408
106,324.249,0.46116,0.30102,0.89778,0.98145,0.98906,0.99123,0.92256,0.40813,0.25739,0.83994,0.0017921,0.0017921,0.0017921
107,327.324,0.45897,0.30426,0.90311,0.98164,0.99923,0.98651,0.92336,0.41586,0.254,0.84456,0.00179012,0.00179012,0.00179012
108,330.398,0.43999,0.29204,0.90432,0.98087,1,0.98069,0.91743,0.40196,0.24436,0.83661,0.00178814,0.00178814,0.00178814
109,333.381,0.47297,0.30058,0.90164,0.98077,1,0.98179,0.92807,0.3991,0.24413,0.84328,0.00178616,0.00178616,0.00178616
110,336.363,0.46999,0.31133,0.91494,0.98082,1,0.98953,0.92545,0.41704,0.24445,0.8452,0.00178418,0.00178418,0.00178418
111,339.435,0.46026,0.2964,0.90149,0.98094,1,0.99341,0.9176,0.41045,0.25148,0.84295,0.0017822,0.0017822,0.0017822
112,342.453,0.45834,0.30775,0.9024,0.98304,1,0.99315,0.91465,0.44607,0.24438,0.85998,0.00178022,0.00178022,0.00178022
113,345.483,0.45963,0.30361,0.90518,0.98111,1,0.99139,0.93259,0.3814,0.24365,0.83172,0.00177824,0.00177824,0.00177824
114,348.755,0.46789,0.30492,0.89905,0.98121,1,0.99046,0.92772,0.40656,0.24408,0.83813,0.00177626,0.00177626,0.00177626
115,351.763,0.46689,0.29943,0.90309,0.98031,1,0.98836,0.91416,0.39785,0.25153,0.83369,0.00177428,0.00177428,0.00177428
116,355.094,0.46853,0.3019,0.90372,0.9805,1,0.98627,0.9101,0.40978,0.25254,0.83376,0.0017723,0.0017723,0.0017723
117,358.203,0.46759,0.30848,0.90187,0.98077,1,0.98893,0.91368,0.41129,0.24557,0.82972,0.00177032,0.00177032,0.00177032
118,361.287,0.46675,0.31003,0.90005,0.98082,1,0.98666,0.90702,0.42882,0.25059,0.84233,0.00176834,0.00176834,0.00176834
119,364.257,0.45453,0.2921,0.89483,0.98108,1,0.98743,0.91933,0.41738,0.24964,0.83609,0.00176636,0.00176636,0.00176636
120,367.222,0.45504,0.30408,0.89819,0.9811,1,0.98565,0.91583,0.41234,0.24043,0.83813,0.00176438,0.00176438,0.00176438
121,370.229,0.4739,0.30176,0.90372,0.97992,1,0.98654,0.9208,0.40105,0.23611,0.83039,0.0017624,0.0017624,0.0017624
122,373.186,0.47056,0.29416,0.91473,0.98107,1,0.98649,0.92087,0.39049,0.23757,0.82889,0.00176042,0.00176042,0.00176042
123,376.151,0.4691,0.29114,0.90416,0.98076,1,0.98628,0.90595,0.44852,0.25569,0.84283,0.00175844,0.00175844,0.00175844
124,379.123,0.46085,0.30421,0.90627,0.98102,1,0.98659,0.9104,0.42073,0.24961,0.84188,0.00175646,0.00175646,0.00175646
125,382.071,0.47209,0.31647,0.90584,0.9811,1,0.98579,0.90185,0.4368,0.25513,0.84599,0.00175448,0.00175448,0.00175448
126,385.063,0.4321,0.28786,0.88817,0.98114,1,0.9878,0.9292,0.39395,0.24455,0.83295,0.0017525,0.0017525,0.0017525
127,388.022,0.45055,0.29895,0.8922,0.98146,1,0.98667,0.92565,0.39782,0.25065,0.83557,0.00175052,0.00175052,0.00175052
128,390.989,0.47277,0.30803,0.90681,0.99073,0.99897,0.98815,0.92199,0.41041,0.23798,0.83858,0.00174854,0.00174854,0.00174854
129,393.989,0.46692,0.30686,0.90213,0.98899,1,0.9887,0.92139,0.40129,0.23703,0.83682,0.00174656,0.00174656,0.00174656
130,396.972,0.44882,0.29567,0.90638,0.98276,1,0.99037,0.92682,0.39556,0.2356,0.83638,0.00174458,0.00174458,0.00174458
131,399.973,0.44325,0.28367,0.90317,0.98347,1,0.9887,0.92375,0.40318,0.23133,0.83777,0.0017426,0.0017426,0.0017426
132,402.929,0.44905,0.28666,0.89642,0.98093,1,0.98762,0.91822,0.41167,0.23324,0.84003,0.00174062,0.00174062,0.00174062
133,405.887,0.46546,0.29788,0.90005,0.98083,1,0.98662,0.91123,0.44224,0.24314,0.84763,0.00173864,0.00173864,0.00173864
134,408.858,0.45643,0.2963,0.89264,0.98083,1,0.98707,0.91943,0.38868,0.22751,0.83436,0.00173666,0.00173666,0.00173666
135,411.821,0.44949,0.29039,0.89748,0.98064,1,0.98697,0.92416,0.40327,0.23715,0.83718,0.00173468,0.00173468,0.00173468
136,414.781,0.44501,0.29143,0.9019,0.98104,1,0.99108,0.93264,0.40514,0.2425,0.83839,0.0017327,0.0017327,0.0017327
137,417.739,0.4579,0.30558,0.90376,0.98112,1,0.98861,0.93939,0.3916,0.23972,0.83281,0.00173072,0.00173072,0.00173072
138,420.716,0.44595,0.29083,0.89015,0.98427,1,0.99,0.92679,0.40871,0.23907,0.83917,0.00172874,0.00172874,0.00172874
139,423.666,0.44427,0.28495,0.89276,0.98875,0.99065,0.99145,0.93262,0.40482,0.25277,0.83772,0.00172676,0.00172676,0.00172676
140,426.65,0.43705,0.28438,0.89412,0.98919,1,0.98806,0.92955,0.39475,0.23669,0.83277,0.00172478,0.00172478,0.00172478
141,429.659,0.43337,0.28108,0.89883,0.98407,1,0.98824,0.92088,0.4189,0.23731,0.83997,0.0017228,0.0017228,0.0017228
142,432.627,0.43876,0.288,0.89445,0.98898,1,0.98787,0.93081,0.40425,0.23186,0.84585,0.00172082,0.00172082,0.00172082
143,435.573,0.44247,0.29237,0.89595,0.98864,1,0.98694,0.92491,0.40453,0.23417,0.83643,0.00171884,0.00171884,0.00171884
144,438.539,0.45218,0.29084,0.90079,0.98826,1,0.99009,0.92025,0.42003,0.23981,0.86007,0.00171686,0.00171686,0.00171686
145,441.487,0.44,0.27911,0.89473,0.9812,1,0.98861,0.92137,0.40602,0.23199,0.83411,0.00171488,0.00171488,0.00171488
146,444.455,0.43781,0.28194,0.89379,0.98111,1,0.98861,0.93063,0.39757,0.23216,0.83707,0.0017129,0.0017129,0.0017129
147,447.417,0.45386,0.29575,0.89627,0.98085,1,0.98972,0.92066,0.40032,0.23626,0.84055,0.00171092,0.00171092,0.00171092
148,450.38,0.44763,0.2974,0.89814,0.98111,1,0.98778,0.92282,0.38349,0.23143,0.84036,0.00170894,0.00170894,0.00170894
149,453.369,0.42763,0.27831,0.89735,0.98136,1,0.98972,0.9286,0.40116,0.24198,0.83847,0.00170696,0.00170696,0.00170696
150,456.34,0.43076,0.28329,0.89255,0.98245,1,0.98907,0.92915,0.39441,0.2402,0.83803,0.00170498,0.00170498,0.00170498
151,459.288,0.45122,0.28939,0.90422,0.98272,1,0.99111,0.93886,0.40497,0.24724,0.83626,0.001703,0.001703,0.001703
152,462.262,0.43783,0.30228,0.88757,0.98143,1,0.99176,0.92005,0.42142,0.25,0.8412,0.00170102,0.00170102,0.00170102
153,465.223,0.45744,0.29626,0.90399,0.9843,1,0.99074,0.91622,0.42982,0.25329,0.84692,0.00169904,0.00169904,0.00169904
154,468.193,0.44605,0.29149,0.90129,0.98147,1,0.98889,0.92265,0.39581,0.23933,0.83278,0.00169706,0.00169706,0.00169706
155,471.16,0.45752,0.29377,0.89646,0.9808,1,0.98722,0.93892,0.37943,0.23228,0.82942,0.00169508,0.00169508,0.00169508
156,474.131,0.43837,0.28733,0.90312,0.98124,1,0.98648,0.92869,0.38855,0.23328,0.82831,0.0016931,0.0016931,0.0016931
157,477.13,0.43837,0.2784,0.8891,0.98107,1,0.98639,0.92207,0.39928,0.24182,0.82928,0.00169112,0.00169112,0.00169112
158,480.101,0.45725,0.28688,0.90313,0.98138,1,0.98694,0.92498,0.39446,0.22897,0.83267,0.00168914,0.00168914,0.00168914
159,483.112,0.4402,0.27626,0.89772,0.98662,1,0.98667,0.93295,0.39201,0.22728,0.82788,0.00168716,0.00168716,0.00168716
160,486.073,0.43421,0.28349,0.89004,0.9846,1,0.9875,0.93253,0.38613,0.23028,0.82443,0.00168518,0.00168518,0.00168518
161,489.027,0.4091,0.26676,0.88173,0.98959,1,0.99194,0.93373,0.3828,0.22979,0.82286,0.0016832,0.0016832,0.0016832
162,491.994,0.42888,0.27759,0.88797,0.98895,1,0.9875,0.92125,0.39728,0.23441,0.82952,0.00168122,0.00168122,0.00168122
163,494.959,0.41541,0.27391,0.88905,0.98649,1,0.98611,0.91687,0.41779,0.24789,0.8441,0.00167924,0.00167924,0.00167924
164,497.93,0.41338,0.26693,0.89058,0.98587,1,0.98815,0.92491,0.41791,0.23657,0.84189,0.00167726,0.00167726,0.00167726
165,500.876,0.44926,0.29147,0.89122,0.98132,1,0.9888,0.91374,0.43225,0.23646,0.84324,0.00167528,0.00167528,0.00167528
166,503.846,0.43924,0.28786,0.90036,0.98142,1,0.99009,0.92247,0.38124,0.22315,0.8278,0.0016733,0.0016733,0.0016733
167,506.786,0.44994,0.28257,0.90683,0.98157,1,0.98991,0.93299,0.38656,0.22756,0.83163,0.00167132,0.00167132,0.00167132
168,509.752,0.41824,0.2817,0.88122,0.98695,0.99065,0.9878,0.93118,0.39571,0.24096,0.83808,0.00166934,0.00166934,0.00166934
169,512.72,0.42707,0.28128,0.89713,0.99003,1,0.98926,0.92876,0.39201,0.22973,0.83876,0.00166736,0.00166736,0.00166736
170,515.68,0.43943,0.28589,0.89599,0.98855,1,0.98824,0.91568,0.41619,0.23579,0.83841,0.00166538,0.00166538,0.00166538
171,518.631,0.42021,0.28042,0.88223,0.98138,1,0.98898,0.92199,0.3971,0.22629,0.83549,0.0016634,0.0016634,0.0016634
172,521.594,0.45092,0.29092,0.88664,0.97971,1,0.98861,0.92567,0.40842,0.24244,0.83914,0.00166142,0.00166142,0.00166142
173,524.559,0.42232,0.27524,0.88118,0.98106,1,0.98727,0.91904,0.41014,0.23226,0.84258,0.00165944,0.00165944,0.00165944
174,527.54,0.41484,0.28092,0.89311,0.98962,1,0.98926,0.93359,0.38108,0.22364,0.83175,0.00165746,0.00165746,0.00165746
175,530.487,0.4171,0.26287,0.89129,0.98984,1,0.99028,0.93755,0.37454,0.21567,0.82676,0.00165548,0.00165548,0.00165548
176,533.467,0.40936,0.26549,0.87678,0.98486,1,0.98843,0.9346,0.39074,0.23033,0.83148,0.0016535,0.0016535,0.0016535
177,536.429,0.41197,0.27198,0.88736,0.99,1,0.98806,0.92208,0.39157,0.22484,0.83601,0.00165152,0.00165152,0.00165152
178,539.395,0.4272,0.28048,0.88216,0.99009,1,0.99102,0.92888,0.38657,0.21196,0.8305,0.00164954,0.00164954,0.00164954
179,542.359,0.44311,0.28113,0.89832,0.98616,1,0.99259,0.92897,0.38701,0.22315,0.83113,0.00164756,0.00164756,0.00164756
180,545.33,0.44273,0.28463,0.89112,0.98773,1,0.99102,0.91882,0.39981,0.24197,0.83639,0.00164558,0.00164558,0.00164558
181,548.277,0.43013,0.27721,0.90137,0.98879,1,0.99352,0.92969,0.40357,0.23675,0.84343,0.0016436,0.0016436,0.0016436
182,551.242,0.43355,0.28168,0.8895,0.98291,1,0.98824,0.92905,0.3992,0.22402,0.83788,0.00164162,0.00164162,0.00164162
183,554.262,0.42291,0.28659,0.88865,0.989,1,0.98972,0.92823,0.38673,0.22531,0.83648,0.00163964,0.00163964,0.00163964
184,557.24,0.43587,0.27618,0.89287,0.99013,1,0.99148,0.92392,0.391,0.2184,0.83612,0.00163766,0.00163766,0.00163766
185,560.19,0.4204,0.27406,0.88208,0.99002,1,0.98741,0.92227,0.38803,0.22548,0.84061,0.00163568,0.00163568,0.00163568
186,563.169,0.42244,0.27899,0.88515,0.98941,1,0.9913,0.92064,0.40595,0.22658,0.83726,0.0016337,0.0016337,0.0016337
187,566.121,0.42713,0.27237,0.89207,0.99006,1,0.99278,0.92414,0.40793,0.22493,0.83942,0.00163172,0.00163172,0.00163172
188,569.571,0.43798,0.27674,0.88991,0.98993,1,0.98731,0.92176,0.39855,0.22567,0.83524,0.00162974,0.00162974,0.00162974
189,572.532,0.39683,0.266,0.87965,0.9883,1,0.98657,0.91061,0.42245,0.22651,0.84363,0.00162776,0.00162776,0.00162776
190,575.503,0.43429,0.27471,0.88874,0.9816,1,0.98602,0.91134,0.4127,0.22415,0.84603,0.00162578,0.00162578,0.00162578
191,578.461,0.40845,0.25971,0.88181,0.98164,1,0.98676,0.91691,0.43206,0.2321,0.84977,0.0016238,0.0016238,0.0016238
